2015-12-31 15:51:40.580 [error] <0.91.0> gen_server maxwell_protocol_channel_sup terminated with reason: no such process or port in call to gen_server:call(ranch_sup, {start_child,{{ranch_listener_sup,command_channel},{ranch_listener_sup,start_link,[command_channel,...]},...}}, infinity) in gen_server:call/3 line 190
2015-12-31 15:51:40.581 [error] <0.91.0> CRASH REPORT Process maxwell_protocol_channel_sup with 0 neighbours exited with reason: no such process or port in call to gen_server:call(ranch_sup, {start_child,{{ranch_listener_sup,command_channel},{ranch_listener_sup,start_link,[command_channel,...]},...}}, infinity) in gen_server:call/3 line 190 in gen_server:terminate/6 line 746
2015-12-31 16:32:02.580 [error] <0.97.0> Supervisor maxwell_protocol_channel_sup had child maxwell_protocol_channel_pools started with maxwell_protocol_channel_pools:start_link() at undefined exit with reason {'EXIT',{undef,[{maxwell_protocol_channel_pools,start_link,[],[]},{supervisor,do_start_child,2,[{file,"supervisor.erl"},{line,314}]},{supervisor,start_children,3,[{file,"supervisor.erl"},{line,297}]},{supervisor,init_children,2,[{file,"supervisor.erl"},{line,263}]},{gen_server,init_it,6,[{file,"gen_server.erl"},{line,306}]},{proc_lib,init_p_do_apply,3,[{file,"proc_lib.erl"},{line,239}]}]}} in context start_error
2015-12-31 16:32:02.581 [error] <0.59.0> CRASH REPORT Process <0.59.0> with 0 neighbours exited with reason: {{shutdown,{failed_to_start_child,maxwell_protocol_channel_pools,{'EXIT',{undef,[{maxwell_protocol_channel_pools,start_link,[],[]},{supervisor,do_start_child,2,[{file,"supervisor.erl"},{line,314}]},{supervisor,start_children,3,[{file,"supervisor.erl"},{line,297}]},{supervisor,init_children,2,[{file,"supervisor.erl"},{line,263}]},{gen_server,init_it,6,[{file,"gen_server.erl"},{line,306}]},{proc_lib,init_p_do_apply,3,[{file,"proc_lib.erl"},{line,239}]}]}}}},{maxwell_protocol_channel_app,start,...}} in application_master:init/4 line 133
2015-12-31 16:38:23.009 [error] <0.131.0> CRASH REPORT Process <0.131.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.010 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.131.0> exit with reason: undef

2015-12-31 16:38:23.033 [error] <0.132.0> CRASH REPORT Process <0.132.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.033 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.132.0> exit with reason: undef

2015-12-31 16:38:23.058 [error] <0.133.0> CRASH REPORT Process <0.133.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.058 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.133.0> exit with reason: undef

2015-12-31 16:38:23.086 [error] <0.134.0> CRASH REPORT Process <0.134.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.086 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.134.0> exit with reason: undef

2015-12-31 16:38:23.112 [error] <0.135.0> CRASH REPORT Process <0.135.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.112 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.135.0> exit with reason: undef

2015-12-31 16:38:23.136 [error] <0.136.0> CRASH REPORT Process <0.136.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.136 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.136.0> exit with reason: undef

2015-12-31 16:38:23.161 [error] <0.137.0> CRASH REPORT Process <0.137.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.161 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.137.0> exit with reason: undef

2015-12-31 16:38:23.187 [error] <0.138.0> CRASH REPORT Process <0.138.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.188 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.138.0> exit with reason: undef

2015-12-31 16:38:23.212 [error] <0.139.0> CRASH REPORT Process <0.139.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.212 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.139.0> exit with reason: undef

2015-12-31 16:38:23.238 [error] <0.140.0> CRASH REPORT Process <0.140.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.239 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.140.0> exit with reason: undef

2015-12-31 16:38:23.264 [error] <0.142.0> CRASH REPORT Process <0.142.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.264 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.142.0> exit with reason: undef

2015-12-31 16:38:23.289 [error] <0.144.0> CRASH REPORT Process <0.144.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.289 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.144.0> exit with reason: undef

2015-12-31 16:38:23.314 [error] <0.146.0> CRASH REPORT Process <0.146.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.314 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.146.0> exit with reason: undef

2015-12-31 16:38:23.339 [error] <0.148.0> CRASH REPORT Process <0.148.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.339 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.148.0> exit with reason: undef

2015-12-31 16:38:23.364 [error] <0.150.0> CRASH REPORT Process <0.150.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.364 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.150.0> exit with reason: undef

2015-12-31 16:38:23.391 [error] <0.152.0> CRASH REPORT Process <0.152.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.391 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.152.0> exit with reason: undef

2015-12-31 16:38:23.416 [error] <0.154.0> CRASH REPORT Process <0.154.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.416 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.154.0> exit with reason: undef

2015-12-31 16:38:23.441 [error] <0.156.0> CRASH REPORT Process <0.156.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.441 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.156.0> exit with reason: undef

2015-12-31 16:38:23.466 [error] <0.158.0> CRASH REPORT Process <0.158.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.466 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.158.0> exit with reason: undef

2015-12-31 16:38:23.491 [error] <0.160.0> CRASH REPORT Process <0.160.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.491 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.160.0> exit with reason: undef

2015-12-31 16:38:23.516 [error] <0.162.0> CRASH REPORT Process <0.162.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.516 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.162.0> exit with reason: undef

2015-12-31 16:38:23.541 [error] <0.164.0> CRASH REPORT Process <0.164.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.541 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.164.0> exit with reason: undef

2015-12-31 16:38:23.565 [error] <0.166.0> CRASH REPORT Process <0.166.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.565 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.166.0> exit with reason: undef

2015-12-31 16:38:23.589 [error] <0.168.0> CRASH REPORT Process <0.168.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.590 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.168.0> exit with reason: undef

2015-12-31 16:38:23.614 [error] <0.170.0> CRASH REPORT Process <0.170.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.614 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.170.0> exit with reason: undef

2015-12-31 16:38:23.640 [error] <0.172.0> CRASH REPORT Process <0.172.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.640 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.172.0> exit with reason: undef

2015-12-31 16:38:23.666 [error] <0.174.0> CRASH REPORT Process <0.174.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.666 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.174.0> exit with reason: undef

2015-12-31 16:38:23.691 [error] <0.176.0> CRASH REPORT Process <0.176.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.691 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.176.0> exit with reason: undef

2015-12-31 16:38:23.717 [error] <0.178.0> CRASH REPORT Process <0.178.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.717 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.178.0> exit with reason: undef

2015-12-31 16:38:23.742 [error] <0.180.0> CRASH REPORT Process <0.180.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.743 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.180.0> exit with reason: undef

2015-12-31 16:38:23.767 [error] <0.182.0> CRASH REPORT Process <0.182.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.767 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.182.0> exit with reason: undef

2015-12-31 16:38:23.802 [error] <0.184.0> CRASH REPORT Process <0.184.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.802 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.184.0> exit with reason: undef

2015-12-31 16:38:23.830 [error] <0.186.0> CRASH REPORT Process <0.186.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.830 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.186.0> exit with reason: undef

2015-12-31 16:38:23.855 [error] <0.188.0> CRASH REPORT Process <0.188.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.855 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.188.0> exit with reason: undef

2015-12-31 16:38:23.880 [error] <0.190.0> CRASH REPORT Process <0.190.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.880 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.190.0> exit with reason: undef

2015-12-31 16:38:23.910 [error] <0.192.0> CRASH REPORT Process <0.192.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:23.910 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.192.0> exit with reason: undef

2015-12-31 16:38:23.934 [error] <0.194.0> CRASH REPORT Process <0.194.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.009 [error] <0.200.0> CRASH REPORT Process <0.200.0> with 0 neighbours crashed with reason: call to undefined function cloud_common_lib:current()
2015-12-31 16:38:24.010 [error] <0.103.0> Ranch listener command_channel had connection process started with maxwell_protocol_channel_command_protocol:start_link/4 at <0.200.0> exit with reason: undef

